!Амурская область
Архаринский район
Белогорский район
Благовещенский район
Бурейский район
Завитинский район
Зейский район
Ивановский район
Константиновский район
Магдагачинский район
Мазановский район
Михайловский район
Октябрьский район
Ромненский район
Свободненский район
Селемджинский район
Серышевский район
Сковородинский район
Тамбовский район
Тындинский район
Шимановский район
!Еврейская автономная область
Биробиджанский район
Ленинский район
Облученский район
Октябрьский район
Смидовичский район
!Камчатский край
Алеутский район
Быстринский район
Елизовский район
Карагинский район
Мильковский район
Олюторский район
Пенжинский район
Соболевский район
Тигильский район
Усть-Большерецкий район
Усть-Камчатский район
!Магаданская область
Ольский район
Омсукчанский район
Северо-Эвенский район
Среднеканский район
Сусуманский район
Тенькинский район
Хасынский район
Ягоднинский район
!Приморский край
Анучинский район
Дальнереченский район
Кавалеровский район
Кировский район
Красноармейский район
Лазовский район
Михайловский район
Надеждинский район
Октябрьский район
Ольгинский район
Партизанский район
Пограничный район
Пожарский район
Спасский район
Тернейский район
Ханкайский район
Хасанский район
Хорольский район
Черниговский район
Чугуевский район
Шкотовский район
Яковлевский район
!Республика Саха (Якутия)
Абыйский улус
Алданский улус
Аллаиховский улус
Амгинский улус
Анабарский национальный улус
Булунский улус
Верхневилюйский улус
Верхнеколымский улус
Верхоянский улус
Вилюйский улус
Горный улус
Жиганский улус
Кобяйский улус
Ленский улус
Мегино-Кангаласский улус
Мирнинский улус
Момский национальный улус
Намский улус
Нерюнгринский улус
Нижнеколымский улус
Нюрбинский улус
Оймяконский улус
Олекминский улус
Оленёкский национальный улус
Среднеколымский улус
Сунтарский улус
Таттинский улус
Томпонский улус
Усть-Алданский улус
Усть-Майский улус
Усть-Янский улус
Хангаласский улус
Чурапчинский улус
Эвено-Бытантайский национальный улус
!Сахалинская область
Александровск-Сахалинский район
Анивский район
Долинский район
Корсаковский район
Курильский район
Макаровский район
Невельский район
Ногликский район
Охинский район
Поронайский район
Северо-Курильский район
Смирныховский район
Томаринский район
Тымовский район
Углегорский район
Холмский район
Южно-Курильский район
!Хабаровский край
Амурский район
Аяно-Майский район
Бикинский район
Ванинский район
Верхнебуреинский район
Вяземский район
Комсомольский район
Нанайский район
Николаевский район
Охотский район
Советско-Гаванский район
Солнечный район
Тугуро-Чумиканский район
Ульчский район
Хабаровский район
!Чукотский автономный округ
Анадырский район
Беринговский район
Билибинский район
Иультинский район
Провиденский район
Чаунский район
Чукотский район
Шмидтовский район
!Республика Башкортостан
Абзелиловский район
Альшеевский район
Архангельский район
Аскинский район
Аургазинский район
Баймакский район
Бакалинский район
Балтачевский район
Белебеевский район
Белокатайский район
Белорецкий район
Бижбулякский район
Бирский район
Благоварский район
Благовещенский район
Буздякский район
Бураевский район
Бурзянский район
Гафурийский район
Давлекановский район
Дуванский район
Дюртюлинский район
Ермекеевский район
