!Винницкая область
Винницкий район
Гайсинский район
Жмеринский район
Могилёв-Подольский район
Тульчинский район
Хмельницкий район
!Волынская область
Владимир-Волынский район
Камень-Каширский район
Ковельский район
Луцкий район
!Днепропетровская область
Днепровский район
Каменский район
Криворожский район
Никопольский район
Новомосковский район
Павлоградский район
Синельниковский район
!Донецкая область
Бахмутский район
Волновахский район
Горловский район
Донецкий район
Кальмиусский район
Краматорский район
Мариупольский район
Покровский район
!Житомирская область
Бердичевский район
Житомирский район
Коростенский район
Новоград-Волынский район
!Закарпатская область
Береговский район
Мукачевский район
Раховский район
Тячевский район
Ужгородский район
Хустский район
!Запорожская область
Бердянский район
Васильевский район
Запорожский район
Мелитопольский район
Пологовский район
!Ивано-Франковская область
Верховинский район
Ивано-Франковский район
Калушский район
Коломыйский район
Косовский район
Надворнянский район
!Киевская область
Белоцерковский район
Бориспольский район
Броварский район
Бучанский район
Вышгородский район
Обуховский район
Фастовский район
!Кировоградская область
Голованевский район
Кропивницкий район
Новоукраинский район
Александрийский район
!Луганская область
Алчевский район
Должанский район
Луганский район
Ровеньковский район
Сватовский район
Северодонецкий район
Старобельский район
Счастьинский район
!Львовская область
Дрогобычский район
Золочевский район
Львовский район
Самборский район
Стрыйский район
Червоноградский район
Яворовский район
!Николаевская область
Баштанский район
Вознесенский район
Николаевский район
Первомайский район
!Одесская область
Березовский район
Белгород-Днестровский район
Болградский район
Измаильский район
Одесский район
Подольский район
Раздельнянский район
!Полтавская область
Кременчугский район
Лубенский район
Миргородский район
Полтавский район
!Ровненская область
Варашский район
Дубенский район
Ровненский район
Сарненский район
!Сумская область
Конотопский район
Ахтырский район
Роменский район
Сумский район
Шосткинский район
!Тернопольская область
Кременецкий район
Тернопольский район
Чортковский район
!Харьковская область
Богодуховский район
Изюмский район
Красноградский район
Купянский район
Лозовский район
Харьковский район
Чугуевский район
!Херсонская область
Бериславский район
Генический район
Каховский район
Скадовский район
Херсонский район
!Хмельницкая область
Каменец-Подольский район
Хмельницкий район
Шепетовский район
!Черкасская область
Звенигородский район
Золотоношский район
Уманский район
Черкасский район
!Черновицкая область
Вижницкий район
Днестровский район
Черновицкий район
!Черниговская область
Корюковский район
Нежинский район
Новгород-Северский район
Прилукский район
Черниговский район
